0	1.2754	0	#2dconv
1	1.0231	0	#2MM
2	1.6764	0	#3DCONV
3	1.0951	0	#3MM
4	1.1736	0	#ATAX
5	1.0829	0	#BICG
6	0.9998	0	#CORR
7	1.0566	0	#COVAR
8	1.0160	0	#FDTD-2D
9	1.0726	0	#GEMM
10	1.1309	0	#GESUMMV
11	5.2465	0	#GRAMSCHM
12	1.1849	0	#MVT
13	1.0094	0	#SYR2K
14	1.0339	0	#SYRK
#15	1.0484	0	#MRI-Q
#16	1.3498	0	#SPMV
#17	2.7437	0	#BFS
#18	1.1421	0	#HOTSPOT
#19	1.0081	0	#LUD
#20	1.0675	0	#SRAD
